,0
0,1
1,1
2,1
3,1
4,0
5,1
6,1
7,0
8,1
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,0
17,0
18,1
19,1
20,1
21,0
22,1
23,0
24,0
25,1
26,1
27,1
28,0
29,0
30,1
31,0
32,1
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,1
41,1
42,1
43,0
44,1
45,0
46,0
47,1
48,1
49,0
50,0
51,0
52,1
53,0
54,1
55,1
56,0
57,1
58,0
59,0
60,1
61,1
62,0
63,1
64,0
65,0
66,0
67,0
68,1
69,1
70,1
71,0
72,0
73,0
74,0
75,1
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,1
89,1
90,1
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,1
128,0
129,1
130,0
131,1
132,1
133,0
134,0
135,0
136,1
137,1
138,1
139,0
140,0
141,0
142,1
143,0
144,1
145,1
146,1
147,0
148,0
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,0
158,0
159,0
160,1
161,1
162,1
163,0
164,1
165,0
166,0
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,0
175,1
176,0
177,0
178,0
179,1
180,1
181,1
182,1
183,0
184,1
185,1
186,0
187,0
188,0
189,1
190,0
191,1
192,1
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,1
202,1
203,0
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,1
219,1
220,1
221,0
222,0
223,1
224,1
225,1
226,1
227,1
228,1
229,0
230,1
231,0
232,1
233,0
234,0
235,1
236,1
237,1
238,1
239,0
240,0
241,0
242,0
243,1
244,1
245,0
246,0
247,0
248,1
249,1
250,0
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,0
259,0
260,0
261,1
262,0
263,1
264,1
265,0
266,1
267,0
268,0
269,1
270,1
271,1
272,0
273,1
274,1
275,0
276,1
277,1
278,1
279,0
280,0
281,1
282,1
283,0
284,1
285,0
286,0
287,1
288,0
289,0
290,1
291,1
292,1
293,1
294,0
295,1
296,0
297,0
298,1
299,1
300,0
301,0
302,1
303,0
304,1
305,1
306,0
307,1
308,0
309,1
310,0
311,0
312,0
313,1
314,1
315,0
316,1
317,1
318,0
319,1
320,1
321,1
322,1
323,0
324,0
325,0
326,0
327,0
328,1
329,1
330,0
331,0
332,1
333,1
334,1
335,1
336,0
337,1
338,0
339,1
340,1
341,1
342,0
343,1
344,0
345,0
346,0
347,1
348,1
349,0
350,0
351,0
352,0
353,1
354,0
355,1
356,1
357,1
358,0
359,1
360,0
361,0
362,1
363,1
364,0
365,1
366,0
367,0
368,1
369,1
370,0
371,0
372,1
373,0
374,1
375,0
376,0
377,0
378,0
379,1
380,0
381,1
382,1
383,0
384,0
385,0
386,1
387,0
388,1
389,1
390,0
391,1
392,0
393,0
394,1
395,1
396,0
397,1
398,0
399,1
400,1
401,0
402,0
403,0
404,0
405,1
406,1
407,0
408,0
409,1
410,0
411,0
412,1
413,1
414,1
415,1
416,1
417,0
418,1
419,1
420,0
421,0
422,0
423,1
424,0
425,0
426,1
427,1
428,1
429,1
430,1
431,0
432,0
433,1
434,1
435,0
436,0
437,0
438,0
439,0
440,1
441,0
442,0
443,0
444,1
445,0
446,1
447,1
448,1
449,0
450,1
451,0
452,0
453,0
454,0
455,0
456,1
457,1
458,1
459,1
460,1
461,0
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,1
479,0
480,0
481,1
482,1
483,1
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,1
493,1
494,0
495,0
496,0
497,1
498,1
499,0
500,1
501,1
502,1
503,1
504,0
505,1
506,0
507,0
508,0
509,0
510,1
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,0
519,0
520,0
521,0
522,0
523,1
524,0
525,1
526,1
527,1
528,0
529,1
530,1
531,1
532,0
533,1
534,0
535,1
536,0
537,1
538,0
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,0
548,0
549,1
550,0
551,0
552,0
553,1
554,0
555,0
556,0
557,1
558,0
559,0
560,0
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,0
569,0
570,0
571,0
572,1
573,0
574,0
575,0
576,1
577,0
578,1
579,0
580,0
581,1
582,0
583,1
584,0
585,1
586,0
587,0
588,0
589,0
590,1
591,0
592,0
593,1
594,1
595,0
596,0
597,0
598,1
599,1
600,0
601,0
602,0
603,0
604,1
605,0
606,1
607,1
608,0
609,1
610,0
611,0
612,1
613,1
614,0
615,0
616,1
617,1
618,0
619,1
620,1
621,1
622,1
623,1
624,0
625,1
626,0
627,0
628,1
629,1
630,0
631,0
632,0
633,1
634,1
635,0
636,1
637,0
638,1
639,1
640,0
641,0
642,1
643,0
644,0
645,0
646,1
647,1
648,0
649,0
650,0
651,0
652,0
653,1
654,0
655,1
656,0
657,0
658,1
659,1
660,0
661,1
662,1
663,1
664,0
665,0
666,0
667,1
668,1
669,0
670,0
671,0
672,1
673,0
674,0
675,1
676,0
677,0
678,0
679,1
680,0
681,0
682,0
683,1
684,0
685,1
686,1
687,1
688,1
689,1
690,0
691,0
692,0
693,0
694,1
695,0
696,0
697,0
698,1
699,0
700,0
701,0
702,1
703,1
704,0
705,0
706,0
707,1
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,1
716,1
717,0
718,1
719,1
720,0
721,1
722,1
723,1
724,1
725,0
726,0
727,1
728,1
729,1
730,0
731,0
732,1
733,0
734,0
735,1
736,0
737,0
738,0
739,1
740,1
741,1
742,0
743,1
744,0
745,1
746,1
747,1
748,1
749,0
750,1
751,1
752,1
753,1
754,0
755,1
756,1
757,1
758,1
759,0
760,1
761,1
762,1
763,0
764,1
765,0
766,0
767,1
768,1
769,1
770,0
771,0
772,1
773,1
774,0
775,0
776,1
777,0
778,0
779,0
780,1
781,0
782,0
783,1
784,1
785,0
786,1
787,0
788,1
789,0
790,1
791,0
792,1
793,0
794,1
795,0
796,1
797,1
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,1
807,0
808,0
809,1
810,0
811,1
812,0
