,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,0.7467832748472518,0.8481973434535103,0.9496114120597687,0.6923076923076923,0.5833333333333334,0.41298415480278167,0.8653433630505947,0.9019736842105263,0.9386040053704579,0.8357664233576643,0.6896551724137931,0.5955436654795386
1,1,0.7102758652491765,0.8178368121442124,0.9253977590392484,0.6923076923076923,0.6153846153846154,0.39417884287240923,0.8706774165729745,0.905670426065163,0.9406634355573515,0.8540145985401459,0.75,0.648887532565772
2,2,0.7618244307387343,0.8629032258064516,0.963982020874169,0.7692307692307693,0.7169811320754716,0.5538080416170702,0.8808213351070302,0.9143483709273182,0.9478754067476063,0.864963503649635,0.7643312101910829,0.6735944614953944
3,3,0.7211950672358189,0.8273244781783683,0.9334538891209176,0.6923076923076923,0.5652173913043478,0.4273981711600348,0.8471277838731195,0.8865914786967418,0.9260551735203641,0.8211678832116789,0.6666666666666666,0.5584396190843863
4,4,0.7338727960567867,0.8330170777988614,0.932161359540936,0.7076923076923077,0.6122448979591837,0.4416015285852749,0.8492953557858697,0.88781328320802,0.9263312106301703,0.8065693430656934,0.6535947712418301,0.5260524070976327
5,5,0.7090394294564342,0.8145161290322581,0.9199928286080821,0.7692307692307693,0.7368421052631579,0.5407201139399461,0.8269520913886222,0.8662280701754387,0.9055040489622551,0.7992700729927007,0.6857142857142857,0.5395386192116759
6,6,0.6572959935140137,0.7770398481973436,0.8967837028806735,0.6923076923076923,0.6,0.40217149256353746,0.8593125050599031,0.8961152882205513,0.9329180713811995,0.8138686131386861,0.6277372262773723,0.5361094461612024
7,7,0.7293546278400508,0.8301707779886148,0.9309869281371789,0.7384615384615385,0.6530612244897959,0.5104362992280636,0.8644434602781496,0.9010025062656642,0.9375615522531789,0.8357664233576643,0.697986577181208,0.5968205703585487
8,8,0.6685111323211561,0.7884250474383302,0.9083389625555043,0.7384615384615385,0.6792452830188679,0.4887130638501451,0.8587298469859075,0.8966791979949874,0.9346285490040673,0.843065693430657,0.7225806451612903,0.6184565615530211
9,9,0.6802019500978296,0.7926944971537003,0.9051870442095711,0.676923076923077,0.5714285714285714,0.37276675794248626,0.8542978855102505,0.8922932330827068,0.9302885806551631,0.8248175182481752,0.6883116883116883,0.5724449319253795
