,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,0.737745265969859,0.8387096774193549,0.9396740888688507,0.7076923076923077,0.5581395348837209,0.49832342158634446,0.8580415886408799,0.8958020050125314,0.9335624213841829,0.8102189781021898,0.6338028169014085,0.5274302848022047
1,1,0.6948212032598764,0.8055028462998103,0.9161844893397442,0.7076923076923077,0.6122448979591837,0.4416015285852749,0.8587625002286277,0.8955513784461152,0.9323402566636028,0.8248175182481752,0.6962025316455697,0.5760924935568603
2,2,0.6912782778281019,0.8007590132827326,0.9102397487373632,0.6307692307692307,0.42857142857142855,0.3083729663333568,0.8396821476323264,0.8795112781954887,0.919340408758651,0.7992700729927007,0.6206896551724138,0.5004066760081105
3,3,0.6971401420416361,0.8045540796963947,0.9119680173511533,0.7076923076923077,0.6274509803921569,0.43122877254358816,0.874777215481074,0.9092105263157894,0.9436438371505047,0.8321167883211679,0.6973684210526315,0.5892117492595679
4,4,0.7431276827246399,0.8410815939278936,0.9390355051311473,0.7076923076923077,0.6415094339622641,0.4236180860832201,0.8479062523543366,0.8871240601503759,0.9263418679464153,0.8211678832116789,0.7100591715976331,0.5807993746738963
5,5,0.679242089228191,0.7931688804554079,0.9070956716826248,0.6615384615384615,0.47619047619047616,0.39052150244675105,0.8466181127194148,0.8854636591478696,0.9243092055763245,0.7956204379562044,0.6056338028169014,0.48867568624071256
6,6,0.721128377919864,0.8292220113851992,0.9373156448505345,0.7846153846153846,0.7307692307692307,0.5917749209189898,0.8585968276437475,0.8953947368421052,0.932192646040463,0.8284671532846716,0.6928104575163399,0.5807607925523713
7,7,0.759873529008912,0.8529411764705882,0.9460088239322644,0.6923076923076923,0.5238095238095238,0.4726700385601453,0.858286919324627,0.8954887218045112,0.9326905242843955,0.7883211678832117,0.5735294117647058,0.4654628442945981
8,8,0.7472553350775777,0.844876660341556,0.9424979856055342,0.7538461538461538,0.6666666666666666,0.5531615441614283,0.841098513377907,0.8806077694235589,0.9201170254692108,0.8065693430656934,0.6535947712418301,0.5260524070976327
9,9,0.6821957564640365,0.7941176470588235,0.9060395376536104,0.7076923076923077,0.6122448979591837,0.4416015285852749,0.8678178011172042,0.9037907268170425,0.9397636525168809,0.8211678832116789,0.6711409395973155,0.559604176121352
