,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,0.7952754734283376,0.8823529411764707,0.9694304089246037,0.7538461538461538,0.68,0.5376178501626563,0.8693368155776324,0.9046052631578948,0.9398737107381572,0.8357664233576643,0.7058823529411765,0.5989969210372842
1,1,0.7669004238142365,0.8610056925996205,0.9551109613850044,0.7692307692307693,0.7169811320754716,0.5538080416170702,0.8534841861029953,0.8908521303258145,0.9282200745486336,0.8321167883211679,0.7125,0.5958460099157059
2,2,0.7083812391822574,0.8164136622390893,0.9244460852959212,0.7538461538461538,0.6666666666666666,0.5531615441614283,0.8626660746272331,0.8988095238095238,0.9349529729918146,0.8211678832116789,0.6666666666666666,0.5584396190843863
3,3,0.7312385037605762,0.8349146110056928,0.9385907182508093,0.7230769230769231,0.625,0.48307284948210494,0.8539287927742519,0.8929197994987469,0.9319108062232418,0.8065693430656934,0.6394557823129252,0.5208166892518016
4,4,0.7234091623956419,0.8311195445920304,0.9388299267884189,0.6153846153846154,0.358974358974359,0.2985847472549773,0.8547957341980353,0.893515037593985,0.9322343409899346,0.791970802919708,0.5581395348837209,0.4744044605734341
5,5,0.7290890305878063,0.8311195445920304,0.9331500585962546,0.7230769230769231,0.625,0.48307284948210494,0.8676959091273582,0.9034774436090224,0.9392589780906866,0.8175182481751825,0.6575342465753424,0.5484777530890022
6,6,0.7388452041571307,0.8396584440227705,0.9404716838884102,0.8,0.8,0.603415559772296,0.8498518636117544,0.8884398496240601,0.9270278356363658,0.8102189781021898,0.7142857142857143,0.5772833309696046
7,7,0.7118989111102878,0.8192599620493358,0.9266210129883838,0.676923076923077,0.4878048780487805,0.4465573756372974,0.8535431490351202,0.8915413533834585,0.9295395577317969,0.8102189781021898,0.6119402985074627,0.5261104269506761
8,8,0.6598048834580175,0.7808349146110057,0.901864945763994,0.7076923076923077,0.6274509803921569,0.43122877254358816,0.8536324085022035,0.8923245614035088,0.9310167143048141,0.8211678832116789,0.6666666666666666,0.5584396190843863
9,9,0.7418292767367809,0.8410815939278936,0.9403339111190063,0.6923076923076923,0.5652173913043478,0.4273981711600348,0.8673959461313228,0.9031954887218044,0.9389950313122861,0.8175182481751825,0.6527777777777778,0.5475279625941778
