,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,0.6454716480841688,0.7675521821631878,0.8896327162422067,0.676923076923077,0.5333333333333333,0.39884732849660104,0.8558961748122309,0.8927631578947367,0.9296301409772425,0.8102189781021898,0.6486486486486487,0.5309335555290143
1,1,0.697718396531869,0.8088235294117646,0.9199286622916603,0.6923076923076923,0.5454545454545454,0.44662980013443065,0.8341081098798243,0.8766290726817042,0.9191500354835841,0.8065693430656934,0.6535947712418301,0.5260524070976327
2,2,0.6830990083609081,0.7941176470588235,0.9051362857567389,0.7076923076923077,0.6122448979591837,0.4416015285852749,0.8662803881066721,0.9023809523809524,0.9384815166552327,0.8138686131386861,0.6482758620689655,0.5384614717966817
3,3,0.7200622478882419,0.8263757115749525,0.9326891752616631,0.7076923076923077,0.5777777777777777,0.4737752948326677,0.8491091374545725,0.8884711779448621,0.9278332184351517,0.8065693430656934,0.6344827586206897,0.5194340739023962
4,4,0.7287198034623658,0.8301707779886148,0.9316217525148639,0.6615384615384615,0.5,0.36962466218021844,0.8591508513883184,0.8957080200501252,0.932265188711932,0.8138686131386861,0.6277372262773723,0.5361094461612024
5,5,0.6980348423014604,0.8130929791271347,0.9281511159528091,0.7384615384615385,0.6666666666666666,0.49796655877057205,0.8517678400562632,0.8900062656641604,0.9282446912720577,0.8211678832116789,0.6797385620915033,0.5625246640674584
6,6,0.6667107985148506,0.7808349146110057,0.8949590307071609,0.6,0.3157894736842105,0.2644616973096524,0.8476189915810769,0.8864661654135338,0.9253133392459908,0.8211678832116789,0.6711409395973155,0.559604176121352
7,7,0.6788042914972002,0.7941176470588235,0.9094310026204467,0.676923076923077,0.5116279069767442,0.4189336607944023,0.8522316183773357,0.8905388471177945,0.9288460758582533,0.7992700729927007,0.5985401459854015,0.4960292310866677
8,8,0.7297294247625735,0.8344402277039847,0.939151030645396,0.7384615384615385,0.6530612244897959,0.5104362992280636,0.8660364404279383,0.9015037593984961,0.936971078369054,0.8138686131386861,0.6577181208053692,0.5409959790027536
9,9,0.7204461546039534,0.8301707779886148,0.9398954013732762,0.6923076923076923,0.5454545454545454,0.44662980013443065,0.8509551572299017,0.8887844611528822,0.9266137650758628,0.7846715328467153,0.549618320610687,0.45336695724967613
