,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,0.7248253029749806,0.8292220113851992,0.9336187197954179,0.7538461538461538,0.6666666666666666,0.5531615441614283,0.8021104491709189,0.8507008727849775,0.8992912963990362,0.8218181818181818,0.6259541984732825,0.5244769185437645
1,1,0.7348719339034122,0.8358633776091083,0.9368548213148045,0.7538461538461538,0.6666666666666666,0.5531615441614283,0.7695047918579638,0.8238891827558846,0.8782735736538054,0.7963636363636364,0.582089552238806,0.4578610278063756
2,2,0.66371029391712,0.7789373814041746,0.8941644688912291,0.7076923076923077,0.6885245901639344,0.4134988461218532,0.780768788944729,0.832550912457022,0.8843330359693149,0.7781818181818182,0.6013071895424836,0.4476822424264812
3,3,0.7822052647527391,0.8723908918406073,0.9625765189284754,0.7384615384615385,0.6382978723404256,0.5269351582866805,0.793723527374631,0.8432623644538481,0.8928012015330651,0.7854545454545454,0.512396694214876,0.4080301332691327
4,4,0.6946255282600516,0.8036053130929791,0.9125850979259066,0.7384615384615385,0.6909090909090909,0.4821294245641048,0.7705542258368512,0.8233271621264217,0.8761000984159921,0.8036363636363636,0.6447368421052632,0.5090584501454641
5,5,0.7857601653271571,0.8752371916508538,0.9647142179745505,0.7846153846153846,0.72,0.6053410289622156,0.7847969282439221,0.8373776778629992,0.8899584274820763,0.7890909090909091,0.6027397260273972,0.46022521468795147
6,6,0.7339473032531215,0.8396584440227705,0.9453695847924194,0.8,0.7547169811320755,0.6189030193839953,0.7780812131951017,0.8308979106056599,0.883714608016218,0.8,0.6540880503144654,0.5147928191928889
7,7,0.7430409618145264,0.8415559772296014,0.9400709926446764,0.7230769230769231,0.5909090909090909,0.5236349380886428,0.8035504365177875,0.8530150753768845,0.9024797142359815,0.8181818181818182,0.6153846153846154,0.5132995715040032
8,8,0.766230873560896,0.8624288425047438,0.9586268114485916,0.8,0.7547169811320755,0.6189030193839953,0.7905594725191691,0.841047341973023,0.8915352114268769,0.8036363636363636,0.6197183098591549,0.4904560626731077
9,9,0.6940116501662016,0.8007590132827326,0.9075063763992636,0.676923076923077,0.5116279069767442,0.4189336607944023,0.7681042399336018,0.823261042052367,0.8784178441711323,0.8,0.5925925925925926,0.46934787930347505
