,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,0.8098494306060658,0.8918406072106261,0.9738317838151863,0.7692307692307693,0.7169811320754716,0.5538080416170702,0.7929525258600538,0.8434607246760116,0.8939689234919694,0.8,0.5925925925925926,0.46934787930347505
1,1,0.7344902547692936,0.8382352941176471,0.9419803334660005,0.7384615384615385,0.6530612244897959,0.5104362992280636,0.7785587024546892,0.8329806929383762,0.8874026834220632,0.8,0.5864661654135338,0.4663432504527918
2,2,0.7411022739634348,0.8396584440227705,0.9382146140821062,0.7538461538461538,0.6923076923076923,0.5259095615701296,0.7943590656310925,0.8439896852684475,0.8936203049058026,0.7927272727272727,0.6013986013986014,0.46377380098151566
3,3,0.7155158317307242,0.8192599620493358,0.9230040923679474,0.7384615384615385,0.711864406779661,0.4756157256418996,0.7994166533382532,0.8499735519703783,0.9005304506025034,0.8327272727272728,0.7160493827160493,0.6004277169181108
4,4,0.7071948381013343,0.8159392789373815,0.9246837197734287,0.7692307692307693,0.7058823529411765,0.564704344997556,0.799829775271236,0.8504694525257869,0.9011091297803377,0.8145454545454546,0.6433566433566433,0.5206003843484769
5,5,0.7289968871701116,0.8301707779886148,0.9313446688071181,0.7538461538461538,0.7037037037037037,0.5173228176742486,0.7846733352072814,0.8395596403067972,0.894445945406313,0.8254545454545454,0.6712328767123288,0.5535599743038708
6,6,0.7117282770038882,0.818785578747628,0.9258428804913679,0.7076923076923077,0.6885245901639344,0.4134988461218532,0.7758926617481726,0.8316582914572864,0.8874239211664002,0.7927272727272727,0.6503067484662577,0.506296389595694
7,7,0.7793079490523248,0.8671726755218218,0.9550374019913187,0.7538461538461538,0.7037037037037037,0.5173228176742486,0.775767363004526,0.8306334303094419,0.8854994976143579,0.7963636363636364,0.6056338028169014,0.47141661924635664
8,8,0.7082762244481031,0.8154648956356737,0.9226535668232443,0.7230769230769231,0.625,0.48307284948210494,0.7939923185230308,0.8466014281935997,0.8992105378641687,0.8072727272727273,0.5826771653543307,0.4792136463764082
9,9,0.7179661697099223,0.8221062618595826,0.9262463540092428,0.7538461538461538,0.6923076923076923,0.5259095615701296,0.7812109987660978,0.834898175085956,0.8885853514058142,0.8072727272727273,0.6187050359712231,0.4951263180093638
