,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,0.7768320026151606,0.8662239089184062,0.9556158152216517,0.7538461538461538,0.68,0.5376178501626563,0.7543126654533883,0.8104998677598519,0.8666870700663156,0.8036363636363636,0.6351351351351351,0.5012836268368892
1,1,0.7435770847624928,0.8444022770398482,0.9452274693172035,0.7692307692307693,0.7169811320754716,0.5538080416170702,0.8191312108291195,0.8646522084104734,0.9101732059918273,0.8254545454545454,0.6712328767123288,0.5535599743038708
2,2,0.7380024373867523,0.8372865275142315,0.9365706176417107,0.7538461538461538,0.7037037037037037,0.5173228176742486,0.7709397630994519,0.8237569426077757,0.8765741221160994,0.7781818181818182,0.5960264900662252,0.4431719925374174
3,3,0.7588922822508385,0.8548387096774194,0.9507851371040003,0.7846153846153846,0.7407407407407407,0.5817404099133792,0.7755658528217352,0.8282531076434806,0.880940362465226,0.7963636363636364,0.6410256410256411,0.49934387877055864
4,4,0.6679812368252717,0.7794117647058824,0.8908422925864931,0.676923076923077,0.676923076923077,0.3567362428842505,0.7584772552218934,0.814334832055012,0.8701924088881307,0.7927272727272727,0.6627218934911243,0.5207613673682876
5,5,0.6653678410010347,0.7808349146110057,0.8963019882209767,0.7076923076923077,0.6885245901639344,0.4134988461218532,0.7790160509476274,0.8319227717535044,0.8848294925593814,0.7781818181818182,0.6163522012578616,0.46165166856299233
6,6,0.721740259026702,0.8259013282732447,0.9300623975197874,0.7538461538461538,0.6666666666666666,0.5531615441614283,0.7847093350608769,0.8372454377148902,0.8897815403689036,0.7963636363636364,0.5942028985507246,0.4643906033091139
7,7,0.7490983817149547,0.8453510436432637,0.9416037055715728,0.7230769230769231,0.5909090909090909,0.5236349380886428,0.7938114722528422,0.8442211055276382,0.8946307388024342,0.7890909090909091,0.546875,0.4283762116979896
8,8,0.6757822170716498,0.7893738140417456,0.9029654110118414,0.7384615384615385,0.6666666666666666,0.49796655877057205,0.7731032613214117,0.8266992859032002,0.8802953104849887,0.7854545454545454,0.5755395683453237,0.4370789665303635
9,9,0.721303383728963,0.8282732447817837,0.9352431058346043,0.7384615384615385,0.6666666666666666,0.49796655877057205,0.7683133308086277,0.8213766199418143,0.8744399090750009,0.7818181818181819,0.5522388059701493,0.41799660398280325
