,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,0.7770578801194248,0.8685958254269449,0.960133770734465,0.8,0.7636363636363637,0.6097807997032771,0.8005556822757415,0.8484527902671252,0.8963498982585089,0.8,0.6451612903225806,0.5061771975154833
1,1,0.8077197257217615,0.8908918406072105,0.9740639554926595,0.8,0.7636363636363637,0.6097807997032771,0.7715116407346982,0.8256413647183284,0.8797710887019585,0.8,0.6357615894039735,0.4979460590308061
2,2,0.7462334970670651,0.8462998102466793,0.9463661234262936,0.8,0.7547169811320755,0.6189030193839953,0.7902013042068905,0.8408159217138323,0.8914305392207742,0.8181818181818182,0.6527777777777778,0.5316438911903932
3,3,0.7698746737683859,0.8624288425047438,0.9549830112411017,0.8,0.7450980392156863,0.6314421312245398,0.7963622284734683,0.84527902671251,0.8941958249515517,0.8145454545454546,0.6666666666666666,0.5382328578040058
4,4,0.7127679672874794,0.8202087286527516,0.9276494900180239,0.7230769230769231,0.625,0.48307284948210494,0.767668162572543,0.8226990214229041,0.8777298802732652,0.8,0.5864661654135338,0.4663432504527918
5,5,0.7606261363727811,0.8567362428842505,0.95284634939572,0.7846153846153846,0.72,0.6053410289622156,0.8008167001749759,0.8500066120074053,0.8991965238398348,0.8181818181818182,0.6428571428571429,0.5255732016923341
6,6,0.7769141533672246,0.8709677419354839,0.9650213305037432,0.7538461538461538,0.6666666666666666,0.5531615441614283,0.780347686596671,0.8312946310499868,0.8822415755033026,0.7818181818181819,0.5652173913043478,0.4254732131186503
7,7,0.7392750322399498,0.8410815939278936,0.9428881556158374,0.7846153846153846,0.72,0.6053410289622156,0.7906658249107972,0.8406506215286961,0.890635418146595,0.8072727272727273,0.6442953020134228,0.5123945623065687
8,8,0.7286966698580573,0.8301707779886148,0.9316448861191724,0.7384615384615385,0.6666666666666666,0.49796655877057205,0.7894560871984994,0.841047341973023,0.8926385967475466,0.8,0.6357615894039735,0.4979460590308061
9,9,0.7208616690277839,0.8244781783681213,0.9280946877084587,0.7384615384615385,0.6530612244897959,0.5104362992280636,0.765340750637868,0.8205831790531607,0.8758256074684534,0.8036363636363636,0.625,0.4939483722842805
