,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,0.7306200221613846,0.832068311195446,0.9335166002295074,0.7846153846153846,0.7666666666666667,0.5681666066487776,0.8316122583975599,0.8761930651202126,0.9207738718428652,0.8290909090909091,0.718562874251497,0.5992873855986898
1,1,0.753769607776684,0.8491461100569259,0.9445226123371677,0.7538461538461538,0.6923076923076923,0.5259095615701296,0.822959645804394,0.8687930409568685,0.914626436109343,0.8181818181818182,0.6835443037974683,0.5677519827415249
2,2,0.6921276828403107,0.8036053130929791,0.9150829433456475,0.7384615384615385,0.7017543859649122,0.477845682086464,0.8338923916434271,0.8760118400386614,0.9181312884338957,0.8218181818181818,0.7100591715976331,0.5836991538872914
3,3,0.7005617646348636,0.8074003795066415,0.9142389943784193,0.7384615384615385,0.6792452830188679,0.4887130638501451,0.8183830544878514,0.8646550682614473,0.9109270820350432,0.8218181818181818,0.6956521739130435,0.578083475985077
4,4,0.7618067439675299,0.8572106261859583,0.9526145084043868,0.7846153846153846,0.7741935483870968,0.5683111954459203,0.8118518594184981,0.859671378518787,0.907490897619076,0.8290909090909091,0.7218934911242604,0.6008118689532834
5,5,0.7739051310380353,0.8662239089184062,0.9585426867987771,0.7846153846153846,0.7407407407407407,0.5817404099133792,0.8319353381295883,0.8775522532318472,0.923169168334106,0.8290909090909091,0.7044025157232704,0.594965673280652
6,6,0.7478313937060561,0.8462998102466793,0.9447682267873025,0.7846153846153846,0.78125,0.5706163700799615,0.8083803992044889,0.8561676936087954,0.9039549880131019,0.7963636363636364,0.7021276595744681,0.5498889197745797
7,7,0.7667463313386161,0.8610056925996205,0.9552650538606248,0.7384615384615385,0.6530612244897959,0.5104362992280636,0.8272561621016742,0.8718134589827231,0.916370755863772,0.8327272727272728,0.7125,0.604219141702514
8,8,0.7141253240122764,0.818785578747628,0.9234458334829797,0.7076923076923077,0.6545454545454545,0.4183037369945186,0.836059568177989,0.8798779751117554,0.9236963820455217,0.8181818181818182,0.6987951807228916,0.5726229652382336
9,9,0.6903988135755801,0.8017077798861479,0.9130167461967158,0.7076923076923077,0.6415094339622641,0.4236180860832201,0.811778380515178,0.8577685151624985,0.903758649809819,0.8072727272727273,0.6826347305389222,0.5475598177896378
