,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,0.6910879060291962,0.8007590132827326,0.9104301205362689,0.7076923076923077,0.6666666666666666,0.41497125023298187,0.8125423664785345,0.8598223994200798,0.907102432361625,0.8109090909090909,0.6941176470588235,0.5590093258502489
1,1,0.7416338309641376,0.8415559772296014,0.9414781234950652,0.7692307692307693,0.7058823529411765,0.564704344997556,0.8117511468601887,0.8595807659780115,0.9074103850958343,0.8363636363636363,0.7272727272727273,0.6153125249742878
2,2,0.7217744689680075,0.8263757115749525,0.9309769541818975,0.8,0.7936507936507936,0.6000002695359063,0.8269858878007932,0.8727497885707383,0.9185136893406833,0.8290909090909091,0.7251461988304093,0.6024994245954195
3,3,0.7489453717894632,0.8462998102466793,0.9436542487038955,0.7692307692307693,0.7272727272727273,0.545955112133691,0.8171651507452977,0.8632958801498127,0.9094266095543277,0.8290909090909091,0.7251461988304093,0.6024994245954195
4,4,0.7366126622889378,0.8349146110056928,0.9332165597224477,0.7692307692307693,0.7272727272727273,0.545955112133691,0.8199724320496196,0.8652893560468768,0.9106062800441341,0.8254545454545454,0.7176470588235294,0.5931103827732344
5,5,0.7812245357439113,0.8690702087286527,0.9569158817133941,0.7846153846153846,0.7307692307692307,0.5917749209189898,0.8147926724422668,0.862148121299988,0.9095035701577091,0.8145454545454546,0.6622516556291391,0.5567602739465285
6,6,0.764153033886002,0.8614800759013282,0.9588071179166545,0.7692307692307693,0.7058823529411765,0.564704344997556,0.8228124017010875,0.8693065120212637,0.91580062234144,0.8145454545454546,0.6751592356687898,0.5583433962489143
7,7,0.6900234703734576,0.8002846299810248,0.910545789588592,0.6615384615384615,0.5416666666666666,0.34289546012345845,0.812790813424907,0.8606379122870604,0.9084850111492139,0.8072727272727273,0.6442953020134228,0.5378686296339821
8,8,0.7431123048657836,0.8406072106261858,0.938102116386588,0.7846153846153846,0.7586206896551724,0.5702439778492803,0.8147472489191385,0.8627522049051588,0.9107571608911791,0.8145454545454546,0.7052023121387283,0.5705956357901745
9,9,0.7467714439487544,0.844876660341556,0.9429818767343575,0.7692307692307693,0.7169811320754716,0.5538080416170702,0.8164589244015994,0.8629938383472273,0.9095287522928552,0.8145454545454546,0.7017543859649122,0.5685192478596237
