,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,0.6414958861147994,0.7632827324478179,0.8850695787808364,0.7076923076923077,0.6666666666666666,0.41497125023298187,0.8120807523369263,0.8588558656518062,0.905630978966686,0.8218181818181818,0.6993865030674846,0.5792295895788176
1,1,0.7258627881026328,0.8292220113851992,0.9325812346677657,0.7538461538461538,0.6923076923076923,0.5259095615701296,0.8302413956542201,0.8756191856953002,0.9209969757363803,0.8181818181818182,0.7023809523809523,0.5742638029581351
2,2,0.7392008310929704,0.8415559772296014,0.9439111233662324,0.7384615384615385,0.6666666666666666,0.49796655877057205,0.8121327413290262,0.8607285248278362,0.9093243083266462,0.8254545454545454,0.7037037037037037,0.5874345190905855
3,3,0.7735743646473279,0.864326375711575,0.9550783867758221,0.7846153846153846,0.7666666666666667,0.5681666066487776,0.8379579567518577,0.880300833635375,0.9226437105188924,0.8218181818181818,0.6993865030674846,0.5792295895788176
4,4,0.651551786988929,0.7689753320683114,0.8863988771476937,0.7230769230769231,0.6785714285714286,0.4480613945462524,0.8114192511776233,0.8583121904071522,0.9052051296366812,0.7854545454545454,0.6335403726708074,0.4896865921461667
5,5,0.6366475366831035,0.7590132827324477,0.881379028781792,0.6,0.4090909090909091,0.2156143862717941,0.8207385497995012,0.8655913978494623,0.9104442458994233,0.8,0.6357615894039735,0.5195617619603051
6,6,0.7487872797068185,0.8462998102466793,0.9438123407865402,0.7384615384615385,0.6792452830188679,0.4887130638501451,0.7973100039505973,0.8459888848616648,0.8946677657727323,0.8,0.6451612903225806,0.5212056575379629
7,7,0.7084462434897347,0.8149905123339659,0.9215347811781971,0.7692307692307693,0.7272727272727273,0.545955112133691,0.8124331661357046,0.8601848495831823,0.90793653303066,0.8072727272727273,0.6863905325443787,0.5494737237553073
8,8,0.723063463986535,0.8244781783681213,0.9258928927497077,0.6923076923076923,0.6428571428571429,0.38474837140384716,0.8345054456289295,0.8780959284765011,0.9216864113240727,0.8290909090909091,0.7116564417177914,0.5967549649924138
9,9,0.7557736653618262,0.8519924098671726,0.948211154372519,0.8,0.7796610169491526,0.6000222534757969,0.8128263905294292,0.8586142322097376,0.9044020738900461,0.8072727272727273,0.6863905325443787,0.5494737237553073
