,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,0.7430436209744742,0.8415559772296014,0.9400683334847286,0.7538461538461538,0.6923076923076923,0.5259095615701296,0.8195126983718934,0.8651383351455841,0.9107639719192748,0.8145454545454546,0.6666666666666666,0.5570705144523347
1,1,0.7249296671349144,0.8292220113851992,0.9335143556354841,0.676923076923077,0.5531914893617021,0.383925616371715,0.8168962532442351,0.8640509846562763,0.9112057160683175,0.84,0.7215189873417721,0.6215348953332986
2,2,0.7432792198698892,0.8425047438330172,0.9417302677961452,0.7846153846153846,0.7586206896551724,0.5702439778492803,0.8191402669934722,0.865077926785067,0.9110155865766618,0.8290909090909091,0.7403314917127072,0.6131994678875592
3,3,0.7098823378927285,0.8168880455407969,0.9238937531888652,0.6923076923076923,0.6153846153846154,0.39417884287240923,0.8202166652397409,0.8661954814546333,0.9121742976695257,0.8218181818181818,0.6754966887417219,0.5753595299396401
4,4,0.7171411745544327,0.8230550284629982,0.9289688823715636,0.7538461538461538,0.7142857142857143,0.5113744176886577,0.8299644148675834,0.8744110184849583,0.9188576221023331,0.8254545454545454,0.7037037037037037,0.5874345190905855
5,5,0.7487505358378561,0.8462998102466793,0.9438490846555025,0.7384615384615385,0.6792452830188679,0.4887130638501451,0.8227152332321535,0.8686722242358342,0.914629215239515,0.8145454545454546,0.6751592356687898,0.5583433962489143
6,6,0.7930528361994306,0.8823529411764707,0.9716530461535108,0.7692307692307693,0.7169811320754716,0.5538080416170702,0.8211628647801477,0.8664371148967016,0.9117113650132556,0.8072727272727273,0.6748466257668712,0.5441788387516254
7,7,0.7298868369937817,0.832068311195446,0.9342497853971103,0.7230769230769231,0.6666666666666666,0.45290522543511796,0.8314083857835651,0.8740787725021142,0.9167491592206632,0.8,0.6820809248554913,0.5368471037238667
8,8,0.7563680444699472,0.8519924098671726,0.947616775264398,0.7384615384615385,0.6792452830188679,0.4887130638501451,0.8344918880909818,0.8788510329829649,0.9232101778749479,0.8290909090909091,0.7080745341614907,0.595762852752859
9,9,0.7267163790894317,0.8282732447817837,0.9298301104741357,0.7384615384615385,0.6792452830188679,0.4887130638501451,0.8020488043408522,0.8525733961580282,0.9030979879752041,0.8109090909090909,0.6623376623376623,0.5481626118355081
